id,umap_x,umap_y,syllable_type
1.0,4.7332315,-1.8889601,Chevron
2.0,3.2673664,-2.5910692,Complex
3.0,3.3001833,-2.5828311,Complex
4.0,8.021985,-4.372886,Chevron
5.0,13.900585,1.0173471,Short
6.0,6.656612,-5.3528523,Complex
7.0,8.526776,-0.15671645,Down
8.0,6.6550303,-5.345038,Complex
9.0,5.8828263,-3.5490847,Chevron
10.0,15.535972,2.9192302,Short
11.0,5.5630608,-5.6149592,Complex
12.0,13.66655,5.285682,Short
13.0,11.871628,5.0855846,Down
14.0,13.596104,5.4719133,Down
15.0,13.921803,5.1692314,Short
16.0,14.158349,5.3513865,Short
17.0,14.0179205,5.7433963,Short
18.0,13.8535185,5.811626,Short
19.0,15.096788,2.5987768,Flat
20.0,13.936672,5.525865,Short
21.0,5.2739196,-2.5759969,Chevron
22.0,12.922277,6.3066945,Short
23.0,13.092711,5.171797,Short
24.0,13.457579,5.98219,Down
25.0,13.2210245,4.787011,Short
26.0,12.520514,3.5394454,Up
27.0,3.242011,-2.7276342,Complex
28.0,3.204804,-4.484067,Flat
29.0,4.616764,-1.2859002,Chevron
30.0,4.7700477,-1.0825005,Frequency_Jump
31.0,5.7095222,-1.2578611,Chevron
32.0,3.1291597,-2.928137,Complex
33.0,4.6245384,-2.9682858,Chevron
34.0,3.0050848,-3.0714827,Complex
1.0,5.6917925,-4.861218,Chevron
2.0,12.496114,3.2138643,Short
3.0,12.504159,3.1009166,Up
4.0,6.572492,-4.915733,Chevron
5.0,1.8044204,-4.4310594,Short
6.0,5.219811,-3.9944646,Short
7.0,15.439223,2.8735065,Short
1.0,3.4473765,-1.9536272,Complex
2.0,2.908072,-2.8087626,Complex
3.0,13.324228,3.4661255,Short
1.0,12.926974,-0.5642834,Short
2.0,3.3771896,-2.220963,Complex
3.0,10.023064,0.823255,Down
1.0,3.5550435,-2.7128904,Complex
2.0,5.2973475,-5.708804,Complex
3.0,14.893847,2.408558,Short
1.0,4.3704495,-2.8683693,Chevron
2.0,8.1334715,-4.811663,Chevron
3.0,6.082078,-5.4099517,Chevron
4.0,13.958278,5.8737664,Short
5.0,13.47941,3.693354,Short
6.0,5.6644406,-1.8716146,Chevron
7.0,12.311363,4.952087,Short
8.0,4.4704223,-2.6953368,Down
9.0,12.590551,5.218687,Short
10.0,13.042986,4.633285,Up
11.0,8.569801,6.003783,Flat
12.0,7.5969157,6.619727,Flat
13.0,12.822845,5.2801275,Flat
14.0,10.2418375,3.843962,Up
15.0,10.287453,5.40043,Flat
16.0,10.098844,4.60269,Flat
17.0,10.293162,3.9673054,Flat
18.0,10.045967,3.5937986,Flat
19.0,9.081472,5.701956,Flat
20.0,9.634991,2.213045,Down
21.0,11.060081,0.3070742,Flat
1.0,5.663929,-4.2703195,Chevron
2.0,11.777493,5.0343575,Flat
1.0,12.4485,1.455097,Short
2.0,13.91897,3.8373659,Short
3.0,4.77979,-2.893137,Chevron
4.0,10.662355,4.5497026,Flat
5.0,5.8835835,-5.179759,Chevron
6.0,12.972132,6.2914276,Short
7.0,12.515842,4.8519764,Short
8.0,4.387727,-2.483471,Down
1.0,13.848356,0.99118453,Short
2.0,6.684845,-4.54922,Complex
1.0,5.463281,-5.730318,Short
1.0,5.4238763,-5.7000937,Complex
2.0,4.2536955,-4.010492,Chevron
3.0,2.0943067,-3.2874684,Short
4.0,2.9792526,-3.2000103,Short
5.0,5.56618,-5.648329,Complex
6.0,3.426296,-2.7830307,Complex
7.0,4.824089,-2.7668839,Short
8.0,13.346361,5.604665,Short
9.0,13.364856,5.579896,Short
10.0,8.230581,-4.800711,Down
