stem,label,is_problem,event_idx,start_col,end_col,max_probability,mean_probability,n_total_columns,n_broadband_columns,n_tonal_columns,tonal_fraction,max_consecutive_tonal,mean_flatness,min_flatness,median_flatness,std_flatness
2024-09-30_14-37-35_0001086,auto_accept,0,31,19450,19820,0.9998331069946289,0.9214509553030917,370,20,290,0.8285714285714286,182,0.16171558780243198,0.01225882531689816,0.042358741472297456,0.2111164342288881
2024-09-30_14-37-35_0001086,auto_accept,0,32,19880,20280,0.9980210065841675,0.8758351344887804,400,159,231,0.9585062240663901,103,0.19651670253621661,0.008803752401310937,0.12282167154369257,0.16684193030227534
2024-09-30_14-37-35_0001086,auto_accept,0,33,20410,20730,0.9975802898406982,0.8039042299444025,320,31,270,0.9342560553633218,70,0.3069476160626412,0.029507072350153707,0.3363664011155611,0.14353241313353493
2024-09-30_14-37-35_0001086,auto_accept,0,34,20820,21070,0.999258816242218,0.8774448782205582,250,4,179,0.7276422764227642,98,0.2883516164028644,0.014381800960124523,0.26176516172307307,0.21503077413472962
2024-09-30_14-37-35_0001086,auto_accept,0,35,21220,21380,0.9985694885253906,0.8945389004314647,160,0,131,0.81875,126,0.3476289001350893,0.013740336485685924,0.37847998723098164,0.1623076678385356
2024-09-30_14-37-35_0001086,auto_accept,0,36,21910,22280,0.9998401403427124,0.9586123682950672,370,0,314,0.8486486486486486,267,0.1947150806381836,0.0032759356267578316,0.09609738520990455,0.19859023998208125
2024-09-30_14-37-35_0001086,auto_accept,0,37,22360,22580,0.9927515983581543,0.8522134941557179,220,103,111,0.9487179487179487,18,0.2435039760455007,0.009422601110400932,0.21044283312818085,0.17137435344103902
2024-09-30_14-37-35_0001086,auto_accept,0,38,22610,22950,0.998855710029602,0.8616944738796779,340,131,205,0.9808612440191388,53,0.1833525836110948,0.003896572497076889,0.1005931807451458,0.17120664769261
2024-09-30_14-37-35_0001086,auto_accept,0,39,23100,23210,0.8725282549858093,0.7705831875403722,110,4,81,0.7641509433962265,14,0.41857501210545034,0.04531631073161324,0.4342508554521053,0.11708550613133112
2024-09-30_14-37-35_0001086,auto_accept,0,40,24300,24500,0.9993441700935364,0.8191270033518473,200,0,110,0.55,92,0.34482110264625143,0.020285416411230182,0.46903539168244324,0.22894712946030407
2024-09-30_14-37-35_0001086,auto_accept,0,41,24550,24930,0.9968618154525757,0.8425980271437229,380,62,265,0.8333333333333334,62,0.3273569562699856,0.02345433755455038,0.3633204720704429,0.17163211553494775
2024-09-30_14-37-35_0001086,auto_accept,0,42,24970,25280,0.9799689650535583,0.8689181385561824,310,26,276,0.971830985915493,156,0.17229536370882476,0.00953656368000488,0.089265632425178,0.15848261984722947
2024-09-30_14-37-35_0001086,auto_accept,0,43,25500,25600,0.8103349804878235,0.728171397339214,100,2,82,0.8367346938775511,17,0.41410404555552655,0.12477757218370437,0.4456488234213461,0.10718420732235592
2024-09-30_14-38-51_0001090,auto_accept,0,0,2370,2550,0.9991434812545776,0.9444000219043932,180,0,101,0.5611111111111111,52,0.36631576447801056,0.025640148785623332,0.4626589774500389,0.20928030274756163
