stem,label,is_problem,n_events,file_min_flatness,file_mean_flatness,file_max_tonal_fraction,file_max_consec_tonal
2024-09-30_12-00-05_0000390,auto_accept,0,9,0.002027608357118037,0.3814332624083269,0.8485294117647059,247
2024-09-30_12-00-17_0000391,auto_accept,0,4,0.019199841803306625,0.4169240235001422,0.85,66
2024-09-30_12-01-15_0000398,auto_accept,0,13,0.00020587465312259652,0.3019328208043236,0.9420289855072463,296
2024-09-30_12-01-46_0000402,auto_accept,0,5,0.003972553207595321,0.3267265147059212,1.0,151
2024-09-30_12-01-51_0000403,auto_accept,0,7,0.0003781243629005664,0.22207319391011285,0.9138655462184874,429
2024-09-30_12-02-12_0000407,auto_accept,0,8,0.0007446397986245682,0.23853741705479947,0.9786324786324786,396
2024-09-30_12-02-46_0000411,auto_accept,0,6,0.0008360937171572416,0.3234723529155699,0.963855421686747,167
2024-09-30_12-03-54_0000415,auto_accept,0,5,0.011348157603758856,0.3183466896703481,0.7976424361493124,235
2024-09-30_12-03-58_0000416,auto_accept,0,3,0.02219124215684589,0.2938996865361269,0.8389830508474576,200
2024-09-30_12-04-40_0000421,auto_accept,0,14,0.009085136780772945,0.36665742970249676,0.8018181818181818,262
2024-09-30_12-05-43_0000426,auto_accept,0,12,0.004080333687628494,0.33365764052401575,0.943502824858757,268
2024-09-30_12-05-51_0000427,auto_accept,0,1,0.44497113722765913,0.5596566331743044,0.08,2
2024-09-30_12-05-53_0000428,auto_accept,0,4,0.017141020146407834,0.3695659687138989,0.7676470588235295,105
2024-09-30_12-06-03_0000430,auto_accept,0,6,0.007018402930383786,0.38195324598801134,0.8393939393939394,318
2024-09-30_12-06-23_0000431,auto_accept,0,10,0.005533463498547116,0.31528785700994355,0.875,398
2024-09-30_12-07-13_0000432,auto_accept,0,5,0.0021765915493418457,0.3434985238407444,0.8587301587301587,189
2024-09-30_12-07-19_0000433,auto_accept,0,5,0.011171003077769488,0.32810733947612225,0.8549618320610687,210
2024-09-30_12-08-00_0000438,auto_accept,0,16,0.002835768494240029,0.2912020246197411,0.9629629629629629,428
2024-09-30_12-08-10_0000439,auto_accept,0,2,0.06333797400103897,0.3657792734219153,0.7638297872340426,107
2024-09-30_12-08-37_0000442,auto_accept,0,4,0.0015757809117178045,0.279556033610209,0.8888888888888888,258
2024-09-30_12-08-43_0000443,auto_accept,0,4,0.0026686135480136863,0.2807465856728627,0.9494949494949495,203
2024-09-30_12-12-07_0000449,auto_accept,0,14,0.006697705008196384,0.3893010872163502,0.834,243
2024-09-30_12-12-34_0000451,auto_accept,0,8,0.0027703367312121446,0.3540209495438409,0.9764243614931237,421
2024-09-30_12-14-14_0000452,auto_accept,0,2,0.14961104821028393,0.5305816621272059,0.2727272727272727,13
2024-09-30_12-14-18_0000453,auto_accept,0,7,0.0012509747382394912,0.2565386370288761,0.8193018480492813,478
2024-09-30_12-14-24_0000454,auto_accept,0,4,0.0015347865965506771,0.26538308896742563,0.8925233644859814,573
2024-09-30_12-14-50_0000458,auto_accept,0,7,0.000770089891521711,0.29075530718465276,0.9257294429708223,321
2024-09-30_12-15-50_0000463,auto_accept,0,1,0.08593328113626507,0.4839851226950204,0.4044943820224719,18
2024-09-30_12-15-55_0000465,auto_accept,0,2,0.09414909701176158,0.46912598958705287,0.5964285714285714,44
2024-09-30_12-16-04_0000467,auto_accept,0,1,0.11884095300236505,0.491869649972611,0.3736842105263158,20
2024-09-30_12-16-06_0000468,auto_accept,0,1,0.09317139158897608,0.4646016544292733,0.39,27
2024-09-30_12-16-08_0000469,auto_accept,0,1,0.046242869912423226,0.4210691893839132,0.32727272727272727,32
2024-09-30_12-16-12_0000470,auto_accept,0,1,0.20619843223856438,0.5144118652702394,0.3,11
2024-09-30_12-16-32_0000473,auto_accept,0,1,0.046502614842887174,0.4267067663048925,0.5476190476190477,48
2024-09-30_12-16-38_0000474,auto_accept,0,1,0.08244951246191326,0.4631695873494396,0.4461538461538462,41
2024-09-30_12-17-43_0000479,auto_accept,0,14,0.0014062121325853565,0.26442518696059325,0.9427710843373494,483
2024-09-30_12-17-56_0000480,auto_accept,0,6,0.0017781051783319934,0.275793706300092,0.9596541786743515,186
2024-09-30_12-18-01_0000481,auto_accept,0,9,0.00144508368767683,0.17180243860896505,0.8162790697674419,239
2024-09-30_12-18-34_0000484,auto_accept,0,4,0.0037372272268615717,0.25724292451627784,0.9026548672566371,205
