"time_of_day","avg_size","num_recordings","line_thickness"
16.7372222222222,1813410,1,1
16.7380555555556,3189666,1,1
16.7394444444444,1387426,1,1
16.7436111111111,1289122,1,1
16.7438888888889,1289122,1,1
16.745,1485730,1,1
16.7452777777778,1289122,1,1
16.7458333333333,1289122,1,1
16.7477777777778,1485730,1,1
16.7555555555556,1289122,1,1
16.7569444444444,1289122,1,1
16.7575,1289122,1,1
16.7636111111111,1289122,1,1
16.7672222222222,1289122,1,1
16.7686111111111,1289122,1,1
16.77,1616802,1,1
16.7705555555556,1452962,1,1
16.775,1289122,1,1
16.7775,1289122,1,1
16.7811111111111,1289122,1,1
16.7822222222222,1289122,1,1
16.7827777777778,1289122,1,1
16.7833333333333,1289122,1,1
16.7847222222222,1289122,1,1
16.7855555555556,2337698,1,1
16.7866666666667,1846178,1,1
16.7875,1321890,1,1
16.7897222222222,1289122,1,1
16.7952777777778,1289122,1,1
16.7958333333333,1289122,1,1
16.8363888888889,1289122,1,1
16.8383333333333,1289122,1,1
16.8388888888889,1289122,1,1
16.8397222222222,1289122,1,1
16.8425,1289122,1,1
16.8427777777778,1289122,1,1
16.865,1518498,1,1
16.8675,1289122,1,1
16.8741666666667,1289122,1,1
16.875,1780642,1,1
16.8877777777778,1289122,1,1
16.8905555555556,1289122,1,1
16.9008333333333,1289122,1,1
16.9183333333333,1289122,1,1
16.9191666666667,1289122,1,1
16.9258333333333,1321890,1,1
16.9269444444444,1289122,1,1
16.9297222222222,1289122,1,1
16.9305555555556,1289122,1,1
16.9311111111111,1780642,1,1
16.9325,1682338,1,1
16.9330555555556,1289122,1,1
16.9338888888889,1289122,1,1
16.9344444444444,1944482,1,1
16.9352777777778,1289122,1,1
16.9380555555556,1715106,1,1
16.9388888888889,1289122,1,1
16.9411111111111,1289122,1,1
16.9419444444444,1289122,1,1
16.9425,1289122,1,1
16.9433333333333,1289122,1,1
16.9441666666667,1289122,1,1
16.9447222222222,1289122,1,1
16.945,1289122,1,1
16.9458333333333,1289122,1,1
16.9466666666667,1289122,1,1
16.9472222222222,1387426,1,1
16.9480555555556,1747874,1,1
16.9511111111111,1289122,1,1
16.9513888888889,1289122,1,1
16.9519444444444,1289122,1,1
16.9525,1289122,1,1
16.9536111111111,1289122,1,1
16.9555555555556,1289122,1,1
16.9563888888889,1289122,1,1
16.9594444444444,1289122,1,1
16.96,1289122,1,1
16.9630555555556,1289122,1,1
16.9644444444444,1289122,1,1
16.9686111111111,2042786,1,1
16.9702777777778,1289122,1,1
16.975,1289122,1,1
16.9758333333333,1289122,1,1
16.9769444444444,1289122,1,1
16.9791666666667,1289122,1,1
16.98,1289122,1,1
16.9822222222222,1289122,1,1
16.9847222222222,1387426,1,1
16.9855555555556,1289122,1,1
16.9861111111111,1747874,1,1
16.9869444444444,1289122,1,1
16.9880555555556,1911714,1,1
16.9886111111111,1452962,1,1
16.9894444444444,1289122,1,1
16.99,1452962,1,1
16.9925,1289122,1,1
16.9933333333333,1289122,1,1
16.9941666666667,1289122,1,1
16.995,1289122,1,1
16.9955555555556,1289122,1,1
16.9977777777778,1387426,1,1
16.9991666666667,1321890,2,10
16.9997222222222,1878946,1,1
17,1289122,1,1
17.0005555555556,2010018,1,1
17.0019444444444,1354658,1,1
17.0022222222222,1289122,1,1
17.0025,1289122,1,1
17.0036111111111,1321890,1,1
17.0041666666667,1289122,1,1
17.005,1485730,2,10
17.0052777777778,1289122,1,1
17.0055555555556,2141090,1,1
17.0063888888889,1289122,1,1
17.0069444444444,1780642,1,1
17.0083333333333,1452962,1,1
17.0086111111111,1289122,1,1
17.0102777777778,1289122,1,1
17.0111111111111,1289122,1,1
17.0116666666667,1289122,1,1
17.0133333333333,1289122,1,1
17.015,1289122,1,1
17.0155555555556,1289122,1,1
17.0172222222222,1289122,1,1
17.0180555555556,1289122,1,1
17.0197222222222,1289122,1,1
17.02,1289122,1,1
17.0213888888889,1289122,1,1
17.0219444444444,1452962,1,1
17.0225,1289122,1,1
17.0236111111111,1289122,1,1
17.0247222222222,1289122,1,1
17.0263888888889,1747874,1,1
17.0266666666667,1846178,1,1
17.0297222222222,1289122,1,1
17.0302777777778,2403234,1,1
17.0308333333333,1289122,1,1
17.0316666666667,1518498,2,10
