wav_stem,begin_time_s,end_time_s,duration_s,low_freq_khz,high_freq_khz,score
2024-10-01_16-55-33_0005556,1.13208619047619,1.18008619047619,0.048,80.625,109.0625,0.746356308460236
2024-10-01_17-43-43_0005811,1.18195777777778,1.21395777777778,0.032,60.625,75.3125,0.65775465965271
2024-10-01_18-50-56_0006203,0.0224033333333333,0.0816033333333333,0.0592,59.375,80.9375,0.811872065067291
2024-10-01_18-50-56_0006203,0.9853225,1.0669225,0.0816,59.6875,92.8125,0.674883782863617
2024-10-01_18-50-56_0006203,1.91276083333333,1.95916083333333,0.0464,78.125,95.9375,0.560497283935547
2024-10-01_18-52-53_0006223,0.631714666666667,0.668514666666667,0.0368000000000001,70.625,80,0.640839993953705
2024-10-01_18-52-53_0006223,1.017026,1.058626,0.0416000000000001,74.0625,84.0625,0.701538145542145
2024-10-01_18-52-53_0006223,1.317826,1.353026,0.0351999999999999,73.4375,82.8125,0.786483645439148
2024-10-01_18-53-59_0006239,1.03038066666667,1.08158066666667,0.0511999999999999,68.125,88.125,0.852998554706573
2024-10-01_18-53-59_0006239,1.17758066666667,1.20638066666667,0.0287999999999999,69.0625,83.4375,0.83135598897934
2024-10-01_18-53-59_0006239,1.29918066666667,1.33278066666667,0.0336000000000001,68.75,84.0625,0.772268176078796
2024-10-01_18-53-59_0006239,2.348758,2.388758,0.04,74.375,84.6875,0.640497982501984
2024-10-01_19-06-16_0006345,0.408003333333333,0.446403333333333,0.0384,60.625,71.25,0.576864361763
2024-09-30_18-37-36_0002313,0.914914666666667,0.948514666666667,0.0336,75,85,0.729497849941254
2024-09-30_18-37-36_0002313,0.999426,1.161026,0.1616,55.625,85,0.662482500076294
2024-09-30_18-37-36_0002313,1.177026,1.236226,0.0591999999999999,54.375,74.6875,0.537235915660858
2024-09-30_18-37-36_0002313,1.308226,1.349826,0.0416000000000001,55.625,72.8125,0.72586989402771
2024-09-30_20-33-40_0002868,0.9309225,1.0173225,0.0863999999999999,48.125,70.625,0.625129163265228
2024-09-30_20-33-40_0002868,1.10824166666667,1.13864166666667,0.0304,60.3125,75.9375,0.683286905288696
2024-09-30_21-05-00_0003018,1.03678066666667,1.14078066666667,0.104,50.625,67.1875,0.787832140922546
