id,umap_x,umap_y,syllable_type
1.0,15.336755,5.4486256,Chevron
1.0,13.555891,8.367936,Chevron
1.0,13.265233,5.868809,Short
1.0,13.35204,6.473888,Short
1.0,15.222697,4.7170973,Down
1.0,14.127068,9.271466,Complex
1.0,12.706898,5.584715,Short
1.0,13.612944,7.5598907,Chevron
1.0,13.737784,6.5633206,Chevron
2.0,2.441387,3.233146,Short
1.0,13.271688,5.200948,Down
1.0,14.282689,5.6931443,Chevron
2.0,13.6497965,5.165746,Down
1.0,13.782621,7.9208627,Short
1.0,13.682097,5.251894,Flat
1.0,15.231841,5.5022364,Chevron
1.0,3.1012394,4.2082963,Short
1.0,14.688255,9.989349,Short
1.0,14.43727,7.889831,Short
1.0,12.907017,7.5443907,Frequency_Jump
