stem,detection_idx,start_time_s,end_time_s,duration_s,max_probability,mean_probability,window_count,start_window,end_window
2024-10-07_03-05-33_0002501,0,0.97792,1.0205866666666668,0.04266666666666674,0.9254900217056274,0.8213117366487329,100,2240,2340
2024-10-07_04-07-01_0002752,0,1.0248533333333334,1.0632533333333334,0.03839999999999999,0.9316855669021606,0.8831905543804168,90,2350,2440
2024-10-07_04-57-18_0002800,0,0.97792,1.0248533333333334,0.04693333333333338,0.9216903448104858,0.7965437173843384,110,2240,2350
2024-10-07_09-13-48_0003015,0,1.0248533333333334,1.0632533333333334,0.03839999999999999,0.924277663230896,0.8627780884504318,90,2350,2440
2024-10-07_09-28-12_0003024,0,0.3592533333333333,0.39338666666666666,0.03413333333333335,0.9109705686569214,0.8853418893284268,80,790,870
2024-10-07_12-51-35_0003072,0,1.02912,1.0717866666666667,0.04266666666666663,0.9428470134735107,0.863039493560791,100,2360,2460
2024-10-07_17-15-10_0003475,0,2.07872,2.11712,0.03839999999999977,0.9458463191986084,0.8000039637088776,90,4820,4910
2024-10-07_17-47-43_0003609,0,0.022186666666666667,0.047786666666666665,0.025599999999999998,0.9621487259864807,0.9466820699828011,60,0,60
2024-10-07_18-38-03_0003803,0,0.039253333333333335,0.07338666666666667,0.034133333333333335,0.8313422799110413,0.6699929899639554,80,40,120
2024-10-07_20-01-33_0004113,0,0.63232,0.7389866666666667,0.10666666666666669,0.9151225090026855,0.8017228429134076,250,1430,1680
2024-10-07_20-21-24_0004198,0,1.0077866666666666,1.0461866666666666,0.03839999999999999,0.9191405773162842,0.8489864528179168,90,2310,2400
2024-10-07_20-36-31_0004254,0,1.01632,1.0632533333333334,0.04693333333333349,0.848619818687439,0.7070103660225868,110,2330,2440
2024-10-07_21-44-15_0004438,0,1.0461866666666666,1.0845866666666666,0.03839999999999999,0.8988280892372131,0.8287022829055786,90,2400,2490
2024-10-07_22-35-53_0004584,0,1.0077866666666666,1.04192,0.03413333333333335,0.8742796778678894,0.8408088088035583,80,2310,2390
2024-10-07_23-10-02_0004668,0,2.14272,2.1896533333333332,0.04693333333333305,0.9756397604942322,0.9045701374610265,110,4970,5080
2024-10-07_23-20-45_0004691,0,0.9949866666666667,1.02912,0.03413333333333335,0.8860964775085449,0.8635378281275431,80,2280,2360
2024-10-07_23-20-45_0004691,1,1.65632,1.6989866666666666,0.04266666666666663,0.9466049671173096,0.8500935679132288,100,3830,3930
2024-10-07_23-20-45_0004691,2,2.47552,2.51392,0.03840000000000021,0.8800995349884033,0.8223215758800506,90,5750,5840
2024-10-07_23-22-01_0004697,0,0.9949866666666667,1.02912,0.03413333333333335,0.9171708822250366,0.8792394995689392,80,2280,2360
2024-10-08_01-55-41_0005122,0,1.0376533333333333,1.08032,0.04266666666666663,0.9391411542892456,0.8781923814253374,100,2380,2480
2024-10-08_02-01-32_0005135,0,0.9565866666666667,0.9949866666666667,0.03839999999999999,0.9245955944061279,0.884982168674469,90,2190,2280
